id_estudiante,promedio_general,promedio_actual,asistencia_promedio,materias_reprobadas,materias_recursadas,materias_inscritas,materias_aprobadas,cuatrimestre_actual,cuatrimestres_retraso,parciales_reprobados,calificacion_minima_parcial,calificacion_maxima_parcial,beneficiario_beca,turno,preferencia_carrera,foraneo,trabaja,edad_ingreso,desercion
ISW-2020-00093,9.79,9.5,0.8985,0,0,5,14,3,1,13,7.0,10.0,0,0,0,0,0,23,0
ISW-2023-00094,8.57,8.59,0.6833,4,4,6,3,2,2,11,6.4,8.9,0,1,1,0,0,25,1
ISW-2020-00095,7.66,7.82,0.7899,4,2,6,3,2,2,7,5.3,9.2,1,2,1,0,1,19,1
ISW-2021-00096,8.37,8.09,0.8724,3,2,7,18,4,1,25,5.9,8.5,0,1,2,0,1,19,1
ISW-2021-00097,7.85,7.83,0.8783,0,0,5,7,2,0,6,6.1,8.9,0,0,1,1,1,24,0
ISW-2019-00098,8.06,8.12,0.8097,0,0,7,0,1,0,0,6.6,9.7,0,3,1,0,0,22,0
ISW-2018-00099,9.01,9.23,0.9135,0,0,5,0,1,0,0,7.2,10.0,1,0,2,0,0,21,0
ISW-2023-00100,9.08,8.82,0.9223,0,0,6,56,9,1,25,5.4,10.0,1,0,0,0,1,20,0
ISW-2018-00101,8.27,8.58,0.9585,0,0,7,42,7,0,29,5.5,10.0,0,3,1,0,0,22,0
ISW-2024-00102,9.55,9.36,0.9118,0,0,5,28,5,0,12,6.9,10.0,0,2,0,1,0,19,1
ISW-2021-00103,8.83,8.68,0.9045,0,0,5,7,2,0,3,7.8,9.4,0,3,1,0,0,26,0
ISW-2025-00104,9.19,9.16,0.9478,0,0,5,56,9,1,32,6.2,10.0,0,2,0,1,0,21,0
ISW-2022-00105,8.69,9.29,0.8583,0,0,7,35,6,0,13,7.6,10.0,1,1,0,1,0,20,0
ISW-2019-00106,8.68,8.55,0.8753,0,0,7,28,5,1,13,7.5,9.6,0,0,1,0,1,23,0
ISW-2025-00107,8.42,8.25,0.9401,0,0,6,14,3,1,14,5.1,8.8,0,0,0,0,1,24,0
ISW-2021-00108,8.6,8.21,0.8226,0,0,5,7,2,0,4,6.2,8.9,0,3,0,1,1,21,0
ISW-2019-00109,8.49,8.14,0.8393,0,0,6,0,1,0,0,4.7,8.5,0,2,0,1,0,21,0
ISW-2025-00110,7.1,7.36,0.7867,0,0,5,42,7,0,80,5.6,9.0,1,0,2,0,0,27,0
ISW-2021-00111,7.48,7.81,0.8243,0,0,5,14,3,1,7,4.5,9.3,0,0,0,1,1,18,0
ISW-2022-00112,9.59,9.9,0.8417,0,0,7,0,1,0,0,7.5,10.0,0,0,0,0,0,23,0
ISW-2018-00113,9.93,9.76,0.9193,1,1,6,6,2,0,1,8.0,10.0,1,0,2,0,0,18,0
ISW-2019-00114,7.71,7.45,0.9347,2,2,6,19,4,1,18,4.0,8.3,1,2,2,0,1,28,0
ISW-2024-00115,7.79,7.89,0.8905,0,0,5,0,1,0,0,6.2,8.2,0,0,0,1,0,21,0
ISW-2025-00116,7.07,7.26,0.904,1,1,7,41,7,1,45,4.2,8.2,1,0,0,0,0,20,1
ISW-2025-00117,7.53,7.69,0.9701,1,1,5,27,5,0,23,5.7,8.0,0,3,0,0,0,19,0
ISW-2019-00118,6.21,6.53,0.9057,1,0,6,27,5,0,45,4.9,8.3,1,1,2,0,1,23,0
ISW-2020-00119,7.61,7.77,0.9344,1,0,7,13,3,1,15,6.1,8.9,0,1,0,0,0,21,0
ISW-2020-00120,8.97,8.92,0.9308,1,0,5,20,4,0,13,7.1,9.9,0,0,0,0,0,18,0
ISW-2019-00121,7.6,7.95,0.7254,2,2,7,19,4,0,40,5.7,9.2,0,0,0,1,0,29,0
ISW-2025-00122,8.68,8.66,0.7117,1,0,5,20,4,0,28,6.9,10.0,0,0,1,0,1,26,1
ISW-2020-00123,7.45,7.32,0.9223,0,0,7,0,1,0,0,6.1,9.1,0,0,0,1,1,18,0
ISW-2020-00124,7.47,7.68,0.7962,3,2,5,11,3,1,23,5.3,8.2,0,0,1,1,1,24,1
ISW-2019-00125,7.8,7.77,0.908,0,0,7,0,1,0,0,6.7,8.9,0,0,0,1,1,21,0
ISW-2024-00126,7.01,7.01,0.904,0,0,6,14,3,1,21,4.5,7.5,0,0,1,1,0,21,0
ISW-2023-00127,6.62,6.51,0.8613,3,2,6,4,2,0,12,4.8,7.4,0,0,2,0,0,21,1
ISW-2020-00128,7.14,7.31,0.6316,0,0,7,0,1,0,0,4.1,9.0,0,3,0,0,0,22,0
ISW-2018-00129,9.73,9.46,0.8779,0,0,5,0,1,0,0,7.2,10.0,1,0,0,0,0,19,1
ISW-2020-00130,8.88,9.25,0.8929,1,1,6,20,4,0,8,6.6,10.0,1,0,0,0,1,18,1
ISW-2019-00131,9.83,9.39,0.8985,0,0,5,0,1,0,0,6.8,10.0,0,2,1,0,0,20,0
ISW-2019-00132,8.5,7.9,0.8732,0,0,5,49,8,1,56,5.0,8.5,0,0,0,1,1,22,0
ISW-2022-00133,8.53,8.41,0.8662,1,1,7,20,4,1,18,4.9,9.9,0,1,1,1,0,21,0
ISW-2018-00134,10.0,10.0,0.9249,0,0,7,7,2,1,2,7.0,10.0,0,2,0,0,1,24,0
ISW-2018-00135,7.67,7.89,0.8304,2,1,6,19,4,1,21,6.0,8.3,1,1,1,1,1,24,0
ISW-2022-00136,7.91,7.49,0.855,0,0,5,0,1,0,0,5.6,8.8,0,0,1,0,0,28,0
ISW-2024-00137,9.76,10.0,0.9355,0,0,6,56,9,1,15,8.2,10.0,0,1,0,0,1,21,1
ISW-2023-00138,8.13,8.17,0.8559,0,0,7,14,3,0,8,5.5,9.2,0,1,0,0,1,18,0
ISW-2019-00139,8.21,7.67,0.7591,6,4,6,29,6,1,62,6.6,8.6,0,0,1,0,1,19,0
ISW-2019-00140,9.38,9.3,0.8068,0,0,7,0,1,0,0,6.3,10.0,1,0,0,0,1,21,0
ISW-2022-00141,8.99,8.78,0.8477,0,0,6,14,3,1,7,7.3,9.5,0,0,1,0,0,20,0
ISW-2024-00142,8.28,8.32,0.8524,0,0,5,14,3,1,11,5.3,9.9,0,2,2,0,0,20,0
ISW-2019-00143,9.34,9.27,0.895,0,0,5,49,8,0,21,7.5,10.0,0,0,0,0,1,26,0
ISW-2023-00144,8.14,7.89,0.9121,3,1,5,18,4,1,20,4.5,9.3,1,0,0,1,1,24,0
ISW-2022-00145,8.94,8.7,0.7488,1,1,6,13,3,1,12,5.8,10.0,0,1,0,0,1,24,0
ISW-2025-00146,9.26,9.3,0.7456,2,1,6,5,2,1,10,8.2,10.0,1,3,0,1,0,25,0
ISW-2025-00147,7.34,7.53,0.7843,2,1,5,5,2,1,8,6.4,8.4,1,0,2,0,0,20,0
ISW-2025-00148,6.67,6.93,0.7246,4,3,5,10,3,1,27,3.7,7.6,0,0,2,0,0,19,1
ISW-2020-00149,7.57,7.57,0.8161,1,0,5,13,3,0,16,6.1,8.9,1,0,0,0,1,24,0
ISW-2020-00150,6.62,6.46,0.8887,0,0,6,0,1,0,0,4.3,8.1,0,1,2,1,0,22,0
ISW-2020-00151,10.0,9.72,0.9238,1,0,6,34,6,1,16,8.4,10.0,0,1,0,0,0,21,0
ISW-2020-00152,8.57,8.26,0.8743,1,1,7,41,7,0,34,5.3,9.1,0,2,2,0,0,23,0
ISW-2025-00153,7.3,7.1,0.7571,0,0,6,0,1,0,0,5.6,8.8,0,0,2,1,0,19,0
ISW-2019-00154,7.88,8.01,0.9021,1,1,5,20,4,0,19,5.3,8.7,0,0,0,1,0,18,0
ISW-2021-00155,8.45,8.2,0.8049,0,0,6,0,1,0,0,5.7,8.8,0,0,1,1,1,25,0
ISW-2019-00156,7.5,7.68,0.9115,1,1,5,27,5,0,36,4.6,8.4,0,0,1,1,0,25,0
ISW-2025-00157,6.56,6.36,0.7112,2,1,6,5,2,0,15,4.7,7.0,0,1,0,0,0,19,1
ISW-2021-00158,7.74,7.8,0.8138,3,2,7,18,4,1,15,7.0,9.2,0,2,0,1,0,25,1
ISW-2025-00159,8.57,8.74,0.9576,0,0,6,28,5,1,18,7.2,9.4,0,0,1,0,0,27,0
ISW-2020-00160,9.97,9.71,0.9271,1,1,6,27,5,0,4,8.5,10.0,0,1,0,1,1,19,0
ISW-2019-00161,8.4,8.49,0.9359,0,0,7,0,1,0,0,6.3,10.0,1,0,0,0,1,26,0
ISW-2025-00162,9.54,9.16,0.9535,0,0,5,49,8,1,15,7.8,10.0,1,1,0,0,1,26,0
ISW-2022-00163,7.87,7.94,0.8176,1,0,6,6,2,0,6,6.8,8.6,0,0,1,0,1,20,0
ISW-2023-00164,9.07,8.68,0.7757,0,0,5,0,1,0,0,5.6,9.6,0,1,0,1,0,23,0
ISW-2020-00165,6.55,6.68,0.8831,3,2,5,18,4,1,34,3.4,7.9,0,0,0,0,1,20,0
ISW-2025-00166,8.23,8.63,0.8478,1,1,6,6,2,0,4,5.9,10.0,1,3,0,1,0,25,0
ISW-2019-00167,7.81,7.94,0.9026,2,1,5,33,6,0,30,5.5,8.7,0,3,0,0,1,19,0
ISW-2021-00168,7.84,7.93,0.8696,0,0,6,35,6,1,33,6.5,9.0,1,2,1,0,1,29,0
ISW-2019-00169,6.94,6.97,0.7514,3,2,6,4,2,1,10,4.1,7.7,0,2,0,0,0,24,0
ISW-2022-00170,9.6,9.05,0.8862,0,0,5,56,9,1,14,7.5,10.0,0,0,1,0,0,24,0
ISW-2020-00171,9.79,10.0,0.9344,0,0,5,7,2,1,1,8.4,10.0,1,1,0,1,0,19,0
ISW-2018-00172,9.73,9.43,0.9767,0,0,6,14,3,1,10,7.6,10.0,0,0,1,1,0,23,0
ISW-2021-00173,9.81,10.0,0.8594,0,0,5,7,2,1,3,7.8,10.0,1,2,0,1,0,27,0
ISW-2024-00174,8.17,8.43,0.7374,0,0,7,49,8,1,55,7.6,9.1,0,0,2,0,1,20,0
ISW-2021-00175,9.0,8.99,0.975,0,0,5,0,1,0,0,8.2,10.0,0,0,0,0,0,31,0
ISW-2023-00176,6.9,6.46,0.7683,0,0,7,0,1,0,0,3.4,7.3,0,1,2,1,1,24,0
ISW-2019-00177,8.57,8.96,0.9113,2,1,5,12,3,1,9,5.8,10.0,0,0,0,1,0,23,1
ISW-2019-00178,8.23,8.13,0.8419,0,0,1,63,10,0,29,5.6,9.6,0,1,0,1,0,22,0
ISW-2022-00179,8.26,8.09,0.9236,1,1,6,41,7,0,34,6.8,8.7,0,0,1,0,0,20,0
ISW-2018-00180,7.99,7.94,0.9523,1,0,6,27,5,0,27,6.3,9.2,0,1,0,1,0,20,0
ISW-2021-00181,9.11,9.14,0.8054,2,1,7,40,7,1,32,6.2,10.0,0,2,0,0,0,22,1
ISW-2018-00182,7.4,8.11,0.7044,5,3,7,37,7,1,63,4.7,9.0,0,1,2,1,0,23,1
ISW-2019-00183,7.94,7.85,0.7709,2,1,7,12,3,0,15,5.0,8.7,0,0,1,1,0,23,0
ISW-2023-00184,7.72,7.52,0.8685,1,1,7,6,2,1,9,4.5,8.5,0,0,1,1,0,28,0
ISW-2019-00185,7.66,7.29,0.7047,4,2,6,31,6,2,62,5.6,8.6,0,0,2,0,1,24,1
ISW-2019-00186,7.6,8.07,0.8342,1,1,6,20,4,1,18,5.4,9.0,1,0,0,1,1,20,0
ISW-2022-00187,9.05,8.47,0.8215,2,2,6,5,2,1,1,7.6,9.2,0,1,0,0,0,24,0
ISW-2019-00188,8.86,8.5,0.8142,0,0,6,0,1,0,0,6.3,9.8,0,0,2,0,1,22,0
ISW-2023-00189,8.97,9.12,0.9382,0,0,7,28,5,1,19,7.6,9.7,1,0,0,1,1,18,0
ISW-2024-00190,8.09,7.77,0.9139,2,1,7,5,2,0,8,6.1,8.1,0,0,0,0,0,20,0
ISW-2022-00191,7.37,7.13,0.897,0,0,6,49,8,1,68,4.4,7.7,0,3,0,0,0,22,0
ISW-2020-00192,8.5,8.6,0.7759,1,1,6,6,2,1,10,7.5,10.0,0,0,0,1,0,19,0
ISW-2021-00193,8.7,8.41,0.7896,0,0,6,0,1,0,0,7.6,8.9,0,0,0,1,0,25,0
ISW-2021-00194,6.02,6.22,0.761,6,2,6,29,6,1,75,4.5,7.0,0,1,0,0,1,19,1
ISW-2019-00195,7.92,7.88,0.8097,0,0,6,0,1,0,0,7.0,9.0,1,0,1,0,1,20,0
ISW-2018-00196,8.67,9.54,0.6996,0,0,6,0,1,0,0,7.0,10.0,1,3,1,1,0,23,0
ISW-2023-00197,8.59,8.25,0.9256,1,1,5,20,4,1,15,5.4,9.8,0,0,2,0,0,22,0
ISW-2021-00198,8.6,8.76,0.8744,1,1,6,41,7,0,24,7.6,9.5,0,1,0,0,1,19,0
ISW-2020-00199,7.76,7.99,0.9208,0,0,5,0,1,0,0,5.3,8.4,1,1,0,0,0,20,0
ISW-2022-00200,8.16,8.08,0.9373,0,0,5,7,2,1,6,5.8,8.9,0,2,1,1,0,25,0
ISW-2022-00201,7.51,7.55,0.9252,2,1,7,33,6,1,42,6.4,8.9,0,1,0,0,0,26,0
ISW-2022-00202,8.5,8.69,0.9178,1,1,7,55,9,1,30,6.4,10.0,0,2,0,0,1,24,0
ISW-2022-00203,7.68,7.93,0.7875,1,1,7,13,3,0,22,4.8,9.3,0,0,1,1,1,18,0
ISW-2018-00204,8.36,8.42,0.8778,0,0,5,0,1,0,0,7.0,9.8,0,1,1,1,1,18,0
ISW-2021-00205,6.16,6.19,0.8685,0,0,7,0,1,0,0,4.2,7.4,0,1,0,0,1,20,0
ISW-2024-00206,7.56,7.5,0.835,2,1,6,5,2,1,8,4.5,8.4,0,1,1,1,0,25,1
ISW-2019-00207,9.19,9.38,0.9177,0,0,6,0,1,0,0,6.3,10.0,0,1,1,1,0,23,0
ISW-2018-00208,6.27,6.3,0.7217,3,2,7,25,5,1,58,3.4,7.9,1,0,2,0,1,19,1
ISW-2019-00209,7.87,7.86,0.9276,0,0,6,0,1,0,0,4.8,8.6,0,0,0,0,1,23,0
ISW-2018-00210,8.36,7.9,0.8909,1,1,5,13,3,1,15,4.4,9.4,0,0,1,0,0,21,0
ISW-2019-00211,7.33,7.84,0.8036,1,1,6,27,5,0,25,4.6,9.4,0,0,1,1,0,21,0
ISW-2024-00212,8.0,8.55,0.8738,0,0,5,21,4,1,17,6.4,10.0,0,0,0,1,1,21,0
ISW-2019-00213,9.18,8.83,0.8916,0,0,6,0,1,0,0,6.6,10.0,1,0,1,0,0,20,1
ISW-2019-00214,10.0,9.88,0.8664,0,0,5,35,6,1,2,8.5,10.0,1,1,1,1,0,29,0
ISW-2024-00215,8.45,8.05,0.8741,2,2,7,26,5,0,23,6.3,9.3,0,1,0,1,0,26,0
ISW-2024-00216,9.34,9.21,0.9332,1,1,6,27,5,1,15,7.9,10.0,0,1,0,0,0,18,0
ISW-2020-00217,6.2,5.97,0.7984,0,0,6,0,1,0,0,2.5,7.6,0,1,0,1,1,19,0
ISW-2021-00218,8.86,8.81,0.875,0,0,5,0,1,0,0,6.2,9.5,0,0,1,1,1,23,0
ISW-2024-00219,6.97,6.92,0.672,3,2,5,46,8,0,93,4.7,7.8,0,0,0,1,0,22,1
ISW-2023-00220,8.71,8.71,0.8892,0,0,5,7,2,0,6,7.7,9.4,0,1,0,1,0,20,0
ISW-2023-00221,7.31,7.41,0.9348,0,0,6,7,2,0,9,4.1,9.0,0,2,0,0,0,24,0
ISW-2023-00222,6.27,6.15,0.7234,6,6,5,8,3,1,22,5.1,7.2,0,1,1,1,0,22,1
ISW-2021-00223,10.0,10.0,0.9166,0,0,5,21,4,0,6,9.2,10.0,0,1,1,0,0,24,0
ISW-2022-00224,7.72,8.24,0.938,2,2,6,54,9,0,46,6.1,9.6,0,1,0,1,0,20,0
ISW-2021-00225,7.55,7.56,0.873,1,0,5,6,2,1,9,5.5,7.9,0,1,0,1,1,25,0
ISW-2018-00226,7.49,7.35,0.5329,4,1,7,45,8,2,98,5.2,8.7,0,1,0,1,1,26,1
ISW-2022-00227,9.89,9.82,0.9002,0,0,5,0,1,0,0,7.7,10.0,0,1,0,1,0,22,0
ISW-2022-00228,7.72,7.86,0.8883,1,1,5,20,4,0,20,5.2,9.2,0,0,1,1,1,21,0
ISW-2025-00229,8.52,8.66,0.8588,0,0,6,21,4,1,13,5.6,9.3,0,0,0,0,1,19,0
ISW-2025-00230,8.87,8.74,0.8612,0,0,6,0,1,0,0,6.9,9.2,0,0,1,0,0,25,0
ISW-2020-00231,7.0,7.05,0.8106,0,0,6,0,1,0,0,4.4,7.7,1,1,1,0,1,18,0
ISW-2018-00232,8.73,8.34,0.7618,0,0,6,14,3,0,19,6.1,9.1,1,2,2,1,0,28,0
